Genre ,Titre,Durée (en minutes),Durée (en heures )
Action,Mad Max:Fury Road,120,2h
Action,Deadpool,108,1h48
Action,Kill Bill : Volume 1,111,1h51
Action,Kingsman,129,2h09
Action,Taken,93,1h33
Action,Le Transporteur,92,1h32
Science-fiction,Retour Vers Le Futur,116,1h56
Science-fiction,2001:L'Odyssée de l'espace,139,2h19
Science-fiction,Inception,148,2h28
Science-fiction,Avatar,178,2h48
Science-fiction,Terminator,107,1h47
Science-fiction,District 9,113,1h53
Comédie,Good Morning England,135,2h15
Comédie,Les Tontons Flingueurs,105,1h45
Comédie,Les Visiteurs,107,1h47
Comédie,Astérix et Obélix : Mission Cléopâtre,107,1h47
Comédie,Babysitting 2,93,1h33
Comédie,Very Bab Trip,100,1h40
Western,Django Unchained,165,2h45
Western,Il était une fois dans l'Ouest,180,3h
Western,"Le Bon, la Brute et le Truand",161,2h41
Western,Diablo,90,1h30
Western,Vera Cruz,94,1h34
Western,Mon nom est Personne,117,1h57
Dessin Animé,Ratatouille,111,1h51
Dessin Animé,Le Voyage de Chihiro,124,2h04
Dessin Animé,Les Nouveaux Héros,102,1h42
Dessin Animé,Cendrillon,74,1h14
Dessin Animé,WALL-E,98,1h38
Dessin Animé,Le Tombeau Des Lucioles,89,1h29
Documentaire,Sugar Man,86,1h526
Documentaire,Human,188,3h08
Documentaire,We Feed The World,96,1h36
Documentaire,Marley,144,2h24
Documentaire,Demain,118,1h58
Documentaire,Oceans,104,1h44
Historique,Twelve Years A Slave,133,2h13
Historique,Le Pianiste,144,2h24
Historique,Le Labyrinthe du silence,120,2h
Historique,Le discours d'un roi,118,1h58
Historique,Troie,163,2h43
Historique,Invictus,134,1h24
Drame,Fight Club,139,1h29
Drame,Titanic,188,3h08
Drame,Mommy,134,2h14
Drame,Into the Wild,147,2h27
Drame,La Ligne Verte,188,3h08
Drame,Forrest Gump,142,2h22
Romance,N'oublie Jamais,123,2h03
Romance,L'arnacoeur,105,1h45
Romance,Le Secret de Brokeback Moutain,134,2h14
Romance,Orgueil et Préjugés,127,2h07
Romance,PS I Love You,126,2h06
Romance,La Boum,114,1h54
Comédie Musical,La Mélodie Du Bonheur,174,2h14
Comédie Musical,Grease,110,1h50
Comédie Musical,Mamma Mia,108,1h48
Comédie Musical,West Side Story,152,2h32
Comédie Musical,Les Misérables ,159,2h39
Comédie Musical,Hairspray,115,1h55
